ID.P,STUDY.NO,ID.S,...4,AUTHOR,TITLE,JOURNAL,DOI,PUB.YR,REVIEWER.NAME,INCLUDED,EXCL.WHY,...13,STUDY.LOC.COUNTRY,STUDY.LOC.SPEC,STUDY.LOC.SPEC.COORDS,...17,DUR.SAMPLING,STUDY.YR,PUB.COUNTRY,STUDY.CONTINENT,PUB.TYPE,STUDY.TYPE,...24,DAT.TYP,DAT.TYP.MORE,DAT.TYP.FIELD.MEAS,DAT.TYP.SURV.QUEST,DAT.TYP. INTERVIEW,DAT.TYP.LITERATURE,DAT.TYP.OFF.DATA,DAT.TYP.GRP.WRKSHOP,DAT.TYP.MODELLING,DAT.TYP.GEOSPATIAL,STUDY.FRAME,ST.TYPE,TREE.SP,CROP.SP,CA.DIST.INTERROW,CA.DIST.INTERROW.MIN,CA.DIST.INTERROW.MAX,CA.DIST.INTRAROW,TREE.AGE,TREE.AGE.MIN,TREE.AGE.MAX,TRAIL.AGE,TRAIL.AGE.MIN,TRAIL.AGE.MAX,EFFECT.ON,MANAGEMENT,TILLAGE,SCALE,...53,BD.SUB.FLORAMACRO,BD.SUB.FLORAMICRO,BD.SUB.FAUNAMACRO,BD.SUB.FAUNAMICRO,BD.SUB.FUNGI,BD.SUB.BACTERIA,BD.SUB.SPEC,BD,...62,ES.SUB.PROV.FOOD,ES.SUB.PROV.FEED,ES.SUB.PROV.FIBRE,ES.SUB.PROV.FUEL,ES.SUB.PROV.GENRES,ES.SUB.PROV.BIOCHEM,ES.SUB.PROV.ORNA,ES.SUB.PROV.WATFRESH,...71,ES.SUB.REGU.AIR,ES.SUB.REGU.CLIMREG,ES.SUB.REGU.CSEQREG,ES.SUB.REGU.WATREG,ES.SUB.REGU.NUTRILE,ES.SUB.REGU.EROREG,ES.SUB.REGU.WATPUR,ES.SUB.REGU.DISREG,ES.SUB.REGU.PESTREG,ES.SUB.REGU.POLREG,ES.SUB.REGU.NATHAZREG,...83,ES.SUB.SUPP.SOILFORM,ES.SUB.SUPP.PHOTSYNT,ES.SUB.SUPP.PRIMPROD,ES.SUB.SUPP.NUTRICYC,ES.SUB.SUPP.WATCYC,...89,ES.SUB.CULT.CULTDIV,ES.SUB.CULT.SPIRITVAL,ES.SUB.CULT.KNOWLSYS,ES.SUB.CULT.EDUVAL,ES.SUB.CULT.INSPIR,ES.SUB.CULT.AESTVAL,ES.SUB.CULT.SOCREL,ES.SUB.CULT.SENPLACE,ES.SUB.CULT.CULTHERIVAL,ES.SUB.CULT.RECRECOTOUR,...100,ES.PROV,ES.REGU,ES.SUPP,ES.CULT,ES,...106,CAT.SUB.AGRO.YIELD,CAT.SUB.AGRO.BIOMASS,CAT.SUB.AGRO.LER,CAT.SUB.AGRO.PESTS,CAT.SUB.AGRO.DISEASE,CAT.SUB.AGRO.WEEDS,CAT.SUB.AGRO.PRODQUAL,CAT.SUB.AGRO.PRODSTAB,CAT.SUB.AGRO.MECHAN,CAT.SUB.AGRO.CRTRBLOW,CAT.SUB.AGRO.LIGHTCMP,CAT.SUB.AGRO.NUTRIUSE,CAT.SUB.AGRO.NUTRIEF,CAT.SUB.AGRO.BRDSELECT,...121,CAT.SUB.ENVI.SOILQUAL,CAT.SUB.ENVI.BIODIV,CAT.SUB.ENVI.CSTOCK,CAT.SUB.ENVI.GHGEMS,CAT.SUB.ENVI.POLLCON,CAT.SUB.ENVI.SOILSTRUCT,CAT.SUB.ENVI.SOILCHEM,CAT.SUB.ENVI.SOILBIO,CAT.SUB.ENVI.SOILWAT,CAT.SUB.ENVI.SOILEROCO,CAT.SUB.ENVI.SOILFORM,CAT.SUB.ENVI.WATQUAL,CAT.SUB.ENVI.WATPERC,CAT.SUB.ENVI.WATCYC,CAT.SUB.ENVI.WATAVAIL,CAT.SUB.ENVI.HYDRAULIFT,...138,CAT.SUB.ECON.PROFIT,CAT.SUB.ECON.MANAGE,CAT.SUB.ECON.MARKET,...142,CAT.SUB.SOCUL.LANAES,CAT.SUB.SOCUL.RECRECOTOUR,CAT.SUB.SOCUL.SPIRITVAL,CAT.SUB.SOCUL.PERCEPADOPT,CAT.SUB.SOCUL.POLICYINFR,...148,CAT.AGRO,CAT.ENVIRON,CAT.ECONOM,CAT.SOCIOCUL,...153,PARAMINDICA.YIELDCROP,PARAMINDICA.YIELDTREE,PARAMINDICA.BIOMCROP,PARAMINDICA.BIOMTREE,PARAMINDICA.HI,PARAMINDICA.LER,PARAMINDICA.BIODIV,PARAMINDICA.SOC,PARAMINDICA.LAI,PARAMINDICA.NUTRILE,PARAMINDICA.NUTRIEF,PARAMINDICA.OTHER,...166,PARAMINDICAUNIT.KGHA,PARAMINDICAUNIT.MGHA,PARAMINDICAUNIT.LHA,PARAMINDICAUNIT.MHA,PARAMINDICAUNIT.PERC,PARAMINDICAUNIT.ECONRETURN,PARAMINDICAUNIT.OTHER,...174,PARAMINDICA.MAIN,PARAMINDICA.SPEC.1,PARAMINDICA.SPEC.2,PARAMINDICA.SPEC.3,EFFECT.RESULT,...180,METHOD.STAT,METHOD.MOD,METHOD.GEN,...184,CONTROL.MONOARA,CONTROL.MONOORCH,CONTROL.FOREST,CONTROL.FORESTNAT,CONTROL.AFDIFF,CONTROL.NATREGREF,...191,STAT.SIGNIF,REPLICATION,OLD INFORMATION -->>,latitude,longitude
1,1,1,NA,"Artru, S., Garre, S., Dupraz, C., Hiel, M. P., Blitz-Frayret, C. and Lassois, L.","Impact of spatio-temporal shade dynamics on wheat growth and yield, perspectives for temperate agroforestry",European Journal of Agronomy,10.1016/j.eja.2016.10.004,2017,Donatella,TRUE,"NA",NA,Belgium,Hesbaye,Hesbaye,NA,2 - 4 years,2013,Belgium,Europe,Journal article,Quantitative,NA,MORE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,BIO.PHYS,TIMBER.ARABLE,TREE_SPECIES,CROP_SPECIES,35,"NA","NA",7,22,20,50,"NA","NA","NA",CROP,CON,TILL,PLOT,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,"NA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,TRUE,FALSE,TRUE,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,NA,SOLAR.RADIATION.PERC,BIOMASS.CROP.HA,YIELD.CROP.HA,PROTEIN.CONTENT.CROP,INDICATOR_AND_EFFECT,NA,TRUE,TRUE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,4,NA,50.6184127,5.1146644
2,2,1,NA,"Artru, S., Lassois, L., Vancutsem, F., Reubens, B. and Garre, S.",Sugar beet development under dynamic shade environments in temperate conditions,European Journal of Agronomy,10.1016/j.eja.2018.04.011,2018,Donatella,TRUE,"NA",NA,Belgium,Hesbaye,Hesbaye,NA,2 - 4 years,2015,Belgium,Europe,Journal article,Quantitative,NA,FIELD.MEAS,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,BIO.PHYS,TIMBER.ARABLE,TREE_SPECIES,CROP_SPECIES,35,"NA","NA",7,20,30,50,"NA","NA","NA",CROP,CON,"NA",PLOT,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,"NA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,TRUE,FALSE,TRUE,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,NA,SOLAR.RADIATION.MJ,BIOMASS.CROP.HA,GROWTH.RATE.CROP,LAI,INDICATOR_AND_EFFECT,NA,TRUE,FALSE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,4,NA,50.6184127,5.1146644
3,3,1,NA,"Bainard, L. D., Koch, A. M., Gordon, A. M., Newmaster, S. G., Thevathasan, N. V. and Klironomos, J. N.",Influence of trees on the spatial structure of arbuscular mycorrhizal communities in a temperate tree-based intercropping system,"Agriculture, Ecosystems and Environment",10.1016/j.agee.2011.07.014,2011,Donatella,TRUE,"NA",NA,Canada,Ontario,Guelph,NA,< 2 years,2007,Canada,North America,Journal article,Quantitative,NA,FIELD.MEAS,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,BIO.PHYS,TIMBER.ARABLE,TREE_SPECIES,CROP_SPECIES,15,12.5,15,7,20,"NA","NA",20,"NA","NA",TREE.CROP,"NA",NO.TILL,PLOT,NA,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,FALSE,"NA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,BD.FUNGI,BD.PHYLOTYPES,"NA","NA",INDICATOR_AND_EFFECT,NA,TRUE,FALSE,TRUE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,2,NA,43.5460516,-80.2493276
5,5,1,NA,"Benjamin, T. J., Hoover, W. L., Seifert, J. R. and Gillespie, A. R.",Defining competition vectors in a temperate alley cropping system in the midwestern USA - 4. The economic return of ecological knowledge,Agroforestry Systems,10.1023/A:1006367303800,2000,Jasper,TRUE,"NA",NA,USA,Midwest,Indiana,NA,"NA","NA",USA,North America,Journal article,Quantitative,NA,MORE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,MONETARY,TIMBER.ARABLE,TREE_SPECIES,CROP_SPECIES,10,8.5,12.2,2,50,"NA","NA","NA","NA","NA","NA",CON,TILL,REGI,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,"NA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,TRUE,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,TRUE,FALSE,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,NA,NPV,BIOMASS.TREE,ECON.RETURN,"NA",INDICATOR_AND_EFFECT,NA,TRUE,TRUE,FALSE,NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,TRUE,"NA",NA,40.3270127,-86.1746933
6,6,1,NA,"Bergeron, M., Lacombe, S., Bradley, R. L., Whalen, J., Cogliastro, A., Jutras, M. F. and Arp, P.",Reduced soil nutrient leaching following the establishment of tree-based intercropping systems in eastern Canada,Agroforestry Systems,10.1007/s10457-011-9402-7,2011,Donatella,TRUE,"NA",NA,Canada,Several locations,Saint Rémi Quebec,NA,2 - 4 years,2000,Canada,North America,Journal article,Quantitative,NA,MORE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,BIO.PHYS,TIMBER.ARABLE,TREE_SPECIES,CROP_SPECIES,6,6,8,2,"NA",5,8,"NA",5,8,SOIL.CROP,CON,TILL,PLOT,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,TRUE,TRUE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NO3,DON,NH4,"NA",INDICATOR_AND_EFFECT,NA,TRUE,FALSE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,4,NA,45.2591064,-73.6188315
6,NA,2,NA,"Bergeron, M., Lacombe, S., Bradley, R. L., Whalen, J., Cogliastro, A., Jutras, M. F. and Arp, P.",Reduced soil nutrient leaching following the establishment of tree-based intercropping systems in eastern Canada,Agroforestry Systems,10.1007/s10457-011-9402-7,2011,Donatella,TRUE,"NA",NA,Canada,Several locations,Saint-Édouard-de-Maskinonge,NA,2 - 4 years,2000,Canada,North America,Journal article,Quantitative,NA,MORE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,BIO.PHYS,TIMBER.ARABLE,TREE_SPECIES,CROP_SPECIES,8,6,8,2,"NA",5,8,"NA",5,8,SOIL.CROP,CON,TILL,PLOT,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,TRUE,TRUE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NO3,DON,NH4,"NA",INDICATOR_AND_EFFECT,NA,TRUE,FALSE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,4,NA,46.330573,-73.144913
7,7,1,NA,"Beule, L., Corre, M. D., Schmidt, M., Göbel, L., Veldkamp, E. and Karlovsky, P.","Conversion of monoculture cropland and open grassland to agroforestry alters the abundance of soil bacteria, fungi and soil-N-cycling genes",PLoS ONE,10.1371/journal.pone.0218779,2019,Donatella,TRUE,"NA",NA,Germany,Several locations,Thuringia,NA,< 2 years,2017,Germany,Europe,Journal article,Quantitative,NA,FIELD.MEAS,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,BIO.PHYS,TIMBER.ARABLE,TREE_SPECIES,CROP_SPECIES,48,"NA","NA",12,10,"NA","NA",10,"NA","NA",TREE.CROP,CON,TILL,PLOT,NA,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,NA,FALSE,"NA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,BD.SOIL.DENITRI.GENE.ABUN,BD.FUNGI,BD.BACTERIEA,"NA",INDICATOR_AND_EFFECT,NA,TRUE,FALSE,TRUE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,4,NA,50.9014721,11.0377839
8,8,1,NA,"Beule, L., Lehtsaar, E., Rathgeb, A. and Karlovsky, P.",Crop diseases and mycotoxin accumulation in temperate agroforestry systems,Sustainability (Switzerland),10.3390/su11102925,2019,Donatella,TRUE,"NA",NA,Germany,Several locations,Jena,NA,< 2 years,2016,Germany,Europe,Journal article,Quantitative,NA,FIELD.MEAS,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,BIO.PHYS,TIMBER.ARABLE,TREE_SPECIES,CROP_SPECIES,48,24,48,12,"NA",9,11,"NA",5,11,CROP,CON,TILL,PLOT,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,"NA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,TRUE,FALSE,FALSE,TRUE,NA,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,MYCOTOXIN,FUSARIUM,VERTICILLIUM,"NA",INDICATOR_AND_EFFECT,NA,TRUE,FALSE,TRUE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,4,NA,50.9281717,11.5879359
8,NA,2,NA,"Beule, L., Lehtsaar, E., Rathgeb, A. and Karlovsky, P.",Crop diseases and mycotoxin accumulation in temperate agroforestry systems,Sustainability (Switzerland),10.3390/su11102925,2019,Donatella,TRUE,"NA",NA,Germany,Several locations,Cottbus,NA,< 2 years,2016,Germany,Europe,Journal article,Quantitative,NA,FIELD.MEAS,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,BIO.PHYS,TIMBER.ARABLE,TREE_SPECIES,CROP_SPECIES,48,24,48,12,"NA",6,8,"NA",5,11,CROP,CON,TILL,PLOT,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,"NA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,TRUE,FALSE,FALSE,TRUE,NA,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,"NA","NA","NA","NA","NA","NA","NA",NA,MYCOTOXIN,FUSARIUM,VERTICILLIUM,"NA",INDICATOR_AND_EFFECT,NA,TRUE,FALSE,TRUE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,5,NA,51.7567447,14.3357307
8,NA,3,NA,"Beule, L., Lehtsaar, E., Rathgeb, A. and Karlovsky, P.",Crop diseases and mycotoxin accumulation in temperate agroforestry systems,Sustainability (Switzerland),10.3390/su11102925,2019,Donatella,TRUE,"NA",NA,Germany,Several locations,Göttingen,NA,< 2 years,2016,Germany,Europe,Journal article,Quantitative,NA,FIELD.MEAS,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,BIO.PHYS,TIMBER.ARABLE,TREE_SPECIES,CROP_SPECIES,48,24,48,12,"NA",5,7,"NA",5,11,CROP,CON,TILL,PLOT,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,"NA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,TRUE,FALSE,FALSE,TRUE,NA,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,"NA","NA","NA","NA","NA","NA","NA",NA,MYCOTOXIN,FUSARIUM,VERTICILLIUM,"NA",INDICATOR_AND_EFFECT,NA,TRUE,FALSE,TRUE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,6,NA,51.5328328,9.9351811
